title,pubmonth,pubday,id,edition,publisher,isbn13,language,pubyear,series,authors,pages
"Building the Data Warehouse by Inmon, W. H.   Paperback",,,1,,Wiley,,,0.0,,,
Joint Application Design: How to Design Quality Systems in 40% Less Time,8.0,9.0,2,1,Wiley,9780000000000.0,English,89.0,,Jane Wood;Denise Silver;,350.0
Oracle Mobile Application Framework Developer Guide: Build Multiplatform Enterprise Mobile Apps,10.0,6.0,3,1,McGraw-Hill Osborne Media,9780000000000.0,English,14.0,,Luc Bors;,464.0
OCA/OCP Java SE 7 Programmer I & II Practice Exams    ,3.0,22.0,4,2,McGraw-Hill Osborne Media,9780000000000.0,English,15.0,Oracle Press,Bert Bates;Katherine Sierra;,656.0
JasperReports 3.5 for Java Developers,9.0,5.0,5,,Packt Publishing,9780000000000.0,English,9.0,,David Heffelfinger;,350.0
Professional Microsoft SQL Server 2008 Administration,11.0,3.0,6,1,Wrox,9780000000000.0,English,8.0,,Brian Knight;Ketan Patel;Wayne Snyder;,912.0
Managing and Mining Sensor Data,1.0,15.0,7,2013,Springer,9780000000000.0,English,13.0,,Charu C. Aggarwal;,534.0
Microsoft SQL Server 2008 Reporting Services,9.0,11.0,8,3,McGraw-Hill Osborne Media,9780000000000.0,English,8.0,,Brian Larson;,866.0
Formal Ontology in Information Systems  ,1.0,1.0,9,,IOS Press,9790000000000.0,English,98.0,Frontiers in Artificial Intelligence and Applications,N. Guarino;,347.0
SQL Server Integration Services Design Patterns,11.0,5.0,10,2,Apress,9780000000000.0,English,14.0,,Andy Leonard;Matt Masson;Tim Mitchell;,440.0
"The Data Model Resource Book, Vol. 2: A Library of Data Models for Specific Industries",3.0,7.0,11,"Revised Edition, Volume 2",Wiley,9780000000000.0,English,1.0,,Len Silverston;,576.0
Introduction to Data Mining with Case Studies,5.0,10.0,12,,Prentice-Hall of India Pvt.Ltd,9790000000000.0,English,11.0,,G.K. Gupta;,508.0
Informix -4Gl by Example,7.0,,13,,Prentice Hall,9780000000000.0,English,94.0,,Informix Press;,732.0
Advanced Oracle Soa Suite 11g in 21 Days,10.0,2.0,14,,ConsultantsNetwork,9780000000000.0,English,13.0,,Eaiesb;Consultants Network;,1080.0
"Data Mining: Practical Machine Learning Tools and Techniques, Second Edition  ",6.0,10.0,15,2,Morgan Kaufmann,9780000000000.0,English,5.0,The Morgan Kaufmann Series in Data Management Systems,Ian H. Witten;Eibe Frank;,560.0
Microsoft Excel 2010: Comprehensive  ,2.0,22.0,16,1,Cengage Learning,9780000000000.0,English,11.0,Shelly Cashman,Gary B. Shelly;Jeffrey J. Quasney;,920.0
"Data Warehouse Technologien: Technische Grundlagen   von KÀ__ppen, Veit   Broschiert",,,17,,mitp,,German,0.0,,Veit KÀ__ppen;,
Advanced Oracle Utilities: The Definitive Reference    ,3.0,21.0,18,,Rampant TechPress,9780000000000.0,English,14.0,Oracle In-Focus,Bert Scalzo;Donald Burleson;Steve Callan;,748.0
Microsoft ADO.NET Entity Framework Step by Step  ,8.0,25.0,19,1,Microsoft Press,9780000000000.0,English,13.0,Step by Step Developer,John Paul Mueller;,448.0
Coding for Data and Computer Communications,4.0,12.0,20,2005,Springer,9780000000000.0,English,5.0,,David Salomon;,548.0
Effective Data Base Design  ,2.0,,21,First,Prentice Hall,9780000000000.0,English,81.0,Prentice-Hall Series in Data Processing Management,William H. Inmon;,303.0
Data Warehousing und Internet  ,1.0,1.0,22,,Diplomarbeiten Agentur diplom.de,9780000000000.0,German,98.0,,Dietmar Neu;,98.0
Microsoft SQL Server 2012 Administration: Real-World Skills for MCSA Certification and Beyond  ,6.0,17.0,23,1,Sybex,9780000000000.0,English,13.0,,Tom Carpenter;,936.0
Conceptual Schema and Relational Database Design: A Fact Oriented Approach,8.0,,24,,Prentice Hall,9780000000000.0,English,89.0,,G. M. Nijssen;T. A. Halpin;,356.0
Matrix Methods in Data Mining and Pattern Recognition  ,4.0,9.0,25,,Society for Industrial and Applied Mathematics,9780000000000.0,English,7.0,Fundamentals of Algorithms (Book 4),Lars EldÀ_n;,224.0
Oracle PL/SQL by Example    ,1.0,25.0,26,5,Prentice Hall,9780000000000.0,English,15.0,Prentice Hall Professional Oracle Series,Benjamin Rosenzweig;Elena Rakhimov;,832.0
"Joe Celko's Trees and Hierarchies in SQL for Smarties, Second Edition  ",2.0,3.0,27,2,Morgan Kaufmann,9780000000000.0,English,12.0,The Morgan Kaufmann Series in Data Management Systems,Joe Celko;,296.0
Microsoft Access VBA Programming for the Absolute Beginner,4.0,17.0,28,3,Cengage Learning PTR,9780000000000.0,English,7.0,,Michael Vine;,384.0
"Databases in Networked Information Systems: International Workshop DNIS 2000 Aizu, Japan, December 4-6, 2000 Proceedings  ",11.0,22.0,29,,Springer,9780000000000.0,English,0.0,Lecture Notes in Computer Science (Book 1966),Subhash Bhalla;,250.0
