title,pubmonth,pubday,id,edition,publisher,isbn13,language,pubyear,series,authors,pages
1-2-3 Database Techniques,10.0,15.0,1,,Que,9780000000000.0,,89.0,,"Dick Anderson, Bill Weil",464.0
10 Minute Guide to Access 97,12.0,17.0,2,1.0,Que,9780000000000.0,,96.0,10 Minute Guide Series,Faithe Wempen,214.0
10 Minute Guide to Lotus Notes,2.0,1.0,3,,Alpha Books,9780000000000.0,,96.0,10 Minute Guide Series,"Susan Plumley, Kate Miller, Sue Plumley",193.0
11th International Workshop on Database and Expert Systems Applications 2000,1.0,28.0,4,,IEEE Computer Society Press,9780000000000.0,,0.0,,,1194.0
"18th International Conference on Scientific and Statistical Database Management  : 03-05 July 2006/Vienna, Austria",7.0,1.0,5,,IEEE Computer Society Press,9780000000000.0,,6.0,,IEEE Computer Society Staff,416.0
"1999 International Symposium on Database Applications in Non-Traditional Environments  : Proceedings, November 28-30, 1999, Kyoto, Japan",2.0,28.0,6,,IEEE Computer Society Press,9780000000000.0,,0.0,,"IEEE Computer Society, Yahiko Kambayashi (Editor)",350.0
"2002 Sunset Review, Colorado Motorist Insurance Identification Database Program",3.0,19.0,7,,BiblioGov,9780000000000.0,,13.0,,Colorado Department of Regulatory Agenci (Created by),48.0
21 Recipes for Mining Twitter,3.0,7.0,8,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,11.0,,Matthew A. Russell,72.0
50 Tips and Tricks for MongoDB Developers,5.0,6.0,9,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,11.0,,Kristina Chodorow,68.0
70-432: Microsoft SQL Server 2008 Implementation and Maintenance Textbook and Lab Manual Set,2.0,15.0,10,1.0,Wiley,9780000000000.0,,11.0,,Microsoft Official Academic Course Staff,648.0
"70-443 and 70-450: Microsoft SQL Server Database Design and Optimization, Package",12.0,21.0,11,1.0,Wiley,9780000000000.0,,9.0,,Microsoft Official Academic Course,456.0
77-424 Microsoft Access 2013,12.0,31.0,12,1.0,Wiley,9780000000000.0,,13.0,"Microsoft Official Academic Course Series ,#378",Microsoft Official Academic Course,528.0
Database Administration Fundamentals: MTA 98-364,7.0,12.0,13,1.0,Wiley,9780000000000.0,,11.0,,Microsoft Official Academic Course,144.0
A Compilation of Spatial Digital Databases for Selected U.S. Geological Survey Nonfuel Mineral Resource Assessments for Parts of Idaho and Montana: Open-File Report 2007-1101,2.0,8.0,14,,BiblioGov,9780000000000.0,,13.0,,"United U.S. Department of the Interior (Created by), et al., Mary H. Carlson",38.0
A Course in In-Memory Data Management: The Inner Mechanics of In-Memory Databases,5.0,31.0,15,1.0,Springer Berlin Heidelberg,9780000000000.0,,13.0,,Hasso Plattner,297.0
"A Data Base of Nutrient Use, Water Use, Co2 Exchange, and Ethylene Production by Soybeans in a Controlled Environment",8.0,2.0,16,,BiblioGov,9780000000000.0,,13.0,,"R. M. Wheeler, Nasa Technical Reports Server (Ntrs), Et Al",44.0
A First Course in Database Systems,10.0,28.0,17,2.0,Prentice Hall,9780000000000.0,,1.0,GOAL Series,"Jeffrey Ullman, Jennifer D. Widom",528.0
"A Future for Knowledge Acquisition: 8th European Knowledge Acquisition Workshop, EKAW'94, Hoegaarden, Belgium, September 26 - 29, 1994. Proceedings",10.0,21.0,18,1.0,Springer Berlin Heidelberg,9780000000000.0,,94.0,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series ,#867","Luc Steels (Editor), Guus Schreiber (Editor), Walter Van de Velde (Editor)",424.0
