ltable_id,rtable_id,gold
6,3071,0
8,2117,0
31,890,1
45,195,1
50,3093,1
63,2522,1
64,2251,1
88,1377,1
95,283,1
98,2218,0
109,1443,0
114,408,1
130,1604,0
136,2482,1
141,3244,1
150,2826,1
157,1949,1
167,1018,0
170,2539,0
182,2124,0
183,2990,1
190,3278,1
213,3098,1
232,123,1
301,2173,1
307,186,0
316,2574,1
318,2889,1
326,2520,1
334,204,1
336,2588,1
361,1592,1
368,2834,0
382,1948,1
390,977,1
395,2473,1
401,135,0
405,2135,0
416,2873,1
423,2534,1
429,3069,1
447,2821,1
448,750,1
457,672,1
467,1195,1
472,2096,0
484,829,1
488,132,1
497,533,0
502,1462,0
508,2085,0
527,2039,0
527,2043,0
554,2728,1
565,2135,0
569,3442,1
572,760,0
572,761,1
604,3090,1
605,1901,1
610,2068,1
615,3504,1
618,143,1
621,1182,1
658,2405,1
670,2149,1
674,3049,0
676,2798,1
688,139,1
693,2244,1
720,2384,1
729,2439,1
730,1377,0
740,2132,1
741,1877,1
749,952,1
786,425,1
788,1242,1
790,1192,1
791,77,1
800,815,1
820,2622,1
823,3326,1
828,2084,0
839,2133,0
839,2739,1
848,2525,1
865,420,1
878,3046,1
882,2526,0
893,3166,0
901,828,1
906,3330,0
913,74,0
915,2819,1
932,751,1
949,2696,1
996,885,0
1006,15,1
1027,789,1
1031,1985,0
1036,2172,1
1048,2372,0
1050,366,1
1056,2445,1
1059,2134,1
1066,3066,0
1070,388,1
1103,2602,1
1114,1033,0
1124,2675,1
1139,198,0
1141,623,1
1146,2419,1
1150,2656,1
1167,2249,1
1186,2543,1
1202,210,1
1210,2216,1
1217,3053,1
1227,1000,0
1227,3426,0
1237,3370,1
1251,1368,1
1259,3081,0
1265,2085,0
1266,2112,1
1294,3149,1
1296,357,0
1305,390,1
1310,1243,0
1340,822,1
1343,2527,1
1344,1581,0
1350,3333,1
1352,2211,0
1355,742,0
1372,2832,1
1377,3084,1
1393,307,1
1402,2764,0
1410,2505,0
1426,1929,0
1455,3131,1
1472,2333,1
1480,1828,1
1492,194,1
1496,3243,1
1497,2181,0
1499,1129,0
1503,3404,0
1507,2185,1
1507,2188,0
1545,3105,0
1560,2878,1
1562,2685,1
1570,1549,0
1574,2126,0
1574,2736,1
1585,1624,1
1614,2049,0
1630,3428,0
1660,895,1
1669,807,1
1670,2111,0
1682,3000,1
1702,1033,0
1716,12,1
1736,2506,0
1752,3056,1
1754,3042,1
1757,2905,0
1762,1692,1
1763,1216,0
1766,2247,1
1774,2688,0
1777,448,1
1784,1392,1
1790,1776,0
1813,2106,0
1818,2412,1
1821,3213,1
1830,1986,0
1841,3143,0
1848,2688,1
1857,2433,0
1858,556,1
1871,3074,1
1876,774,1
1880,2686,1
1891,3286,1
1902,3277,1
1910,2633,1
1920,3424,1
1921,2848,1
1926,3151,1
1937,1243,0
1945,455,0
1951,1659,1
1954,3084,0
1965,2468,1
1972,378,1
1981,1958,1
1988,2017,0
2005,2120,0
2008,3430,1
2011,2152,1
2016,2888,0
2021,2451,1
2032,2009,0
2048,126,1
2056,2620,1
2057,3057,0
2060,985,1
2085,1682,1
2094,348,0
2094,349,0
2097,1667,0
2104,2899,0
2116,786,1
2121,2121,0
2128,387,0
2128,2767,0
2133,1499,0
2133,1503,0
2139,2413,1
2147,1161,0
2165,2575,1
2169,1555,1
2174,831,1
2175,3363,1
2176,2775,0
2189,2066,1
2192,1381,1
2201,2191,1
2235,637,1
2242,1790,0
2251,2847,1
2265,666,1
2291,3067,1
2295,958,0
2317,2462,1
2318,3185,1
2326,2900,0
2340,2825,1
2362,3060,1
2373,1809,0
2391,1102,1
2397,2541,0
2404,533,0
2415,1388,1
2418,2052,0
2422,987,1
2432,3198,0
2443,3095,1
2444,463,1
2455,2006,0
2477,1981,0
2482,3362,0
2504,144,1
2509,2738,0
2509,2739,0
2519,2109,0
2527,1061,1
2530,1117,1
2543,1186,1
2545,2121,1
2546,1400,0
2546,2096,0
2549,3086,0
2572,2394,1
2575,791,1
2577,1136,1
2578,2680,1
2602,1123,0
2603,1789,0
2632,1852,0
2634,2792,0
2635,1761,0
2637,2750,0
2643,903,0
2644,3387,1
2646,2407,1
2657,2936,1
2680,185,1
2697,3504,0
2709,737,1
2715,136,1
2722,3198,1
2736,2086,0
2744,603,0
2749,2415,1
2751,1538,1
2754,2722,1
2756,66,0
2757,1094,1
2758,1914,1
2785,2838,1
2803,513,1
2844,1414,1
2856,2330,1
2872,467,0
2876,2228,1
2906,2623,1
2914,1053,0
2927,2339,1
2934,2450,0
2935,802,1
2938,2126,0
2949,2007,0
2953,677,1
2960,358,0
3004,2997,1
3019,2997,0
3030,2095,1
3042,2888,0
3049,67,1
3051,2805,1
3060,1191,0
3067,2156,1
3068,72,1
3092,863,0
3096,380,1
3098,2664,1
3110,765,1
3114,2217,0
3116,1581,0
3144,2131,1
3147,826,0
3162,2672,1
3166,285,1
3170,3192,0
3170,3193,0
3180,3497,1
3187,1384,1
3213,335,1
3224,294,1
3239,193,1
3243,2464,1
3247,533,0
3263,2115,0
3264,3146,1
3278,2678,1
3290,196,1
3293,349,0
3301,1728,1
3311,1796,0
3327,1811,0
3332,486,1
3334,3492,1
3338,1163,1
3348,334,1
3350,827,1
3351,824,0
3355,2090,0
3355,2092,0
3356,2053,0
3383,2700,1
3386,1135,1
3387,381,1
3400,2517,1
3405,2846,1
3406,3184,0
3409,1391,1
3416,759,1
3427,128,0
3427,129,0
3430,1161,0
3434,1441,1
3452,3439,1
3488,1849,1
3492,3063,1
3493,3174,1
3499,69,0
