ltable_id,rtable_id,gold
0,53,0
0,409,0
1,1083,0
1,3459,0
2,2541,0
8,1431,0
10,769,0
11,100,0
13,1152,0
20,3179,0
22,192,0
23,1920,0
24,1920,0
26,1280,0
27,1546,0
27,3307,0
28,356,0
30,887,0
33,586,0
36,456,0
37,633,0
38,315,0
40,1215,0
40,1426,0
40,1664,0
40,1738,0
40,2376,0
40,3555,0
43,3307,0
44,331,0
45,899,0
47,2379,0
48,2324,0
53,3516,0
55,111,0
55,128,0
56,557,0
57,921,0
57,1394,0
57,1605,0
57,2221,0
61,692,0
63,949,0
66,210,0
66,435,0
66,463,0
66,643,0
66,656,0
66,826,0
66,1042,0
66,1069,0
66,1142,0
66,1232,0
66,2399,0
66,2798,0
67,190,0
67,290,0
67,434,0
67,539,0
67,644,0
67,1147,0
71,511,0
72,1287,0
78,483,0
79,1120,0
80,69,0
83,2534,0
86,464,0
92,15,0
93,499,0
98,406,0
99,76,0
100,2340,0
101,190,0
101,290,0
101,434,0
101,539,0
101,644,0
101,1147,0
104,418,0
108,940,0
109,518,0
110,88,0
110,90,0
110,116,0
110,560,0
110,709,0
110,2609,0
110,3115,0
111,3662,0
112,2092,0
113,63,0
113,869,0
114,743,0
115,9,0
115,26,0
115,107,0
115,151,0
115,220,0
115,250,0
115,289,0
115,334,0
115,446,0
115,469,0
115,537,0
115,649,0
115,755,0
115,930,0
115,938,0
115,969,0
115,1045,0
115,1051,0
115,1470,0
115,1592,0
115,1772,0
115,2889,0
115,3135,0
115,3325,0
116,1174,0
117,436,0
117,2410,0
117,3552,0
119,855,0
120,2092,0
121,376,0
122,14,0
122,114,0
122,146,0
122,150,0
122,174,0
122,194,0
122,228,0
122,234,0
122,265,0
122,292,0
122,326,0
122,447,0
122,488,0
122,571,0
122,628,0
122,710,0
122,903,0
122,958,0
122,1078,0
122,1079,0
122,1123,0
122,1144,0
122,1500,0
122,1526,0
122,1552,0
122,1554,0
122,1638,0
122,1712,0
122,1791,0
122,1827,0
122,1884,0
122,1921,0
122,1960,0
122,2161,0
122,2217,0
122,2276,0
122,2302,0
122,2317,0
122,2336,0
122,2529,0
122,2542,0
122,2662,0
122,2715,0
122,2752,0
122,2831,0
122,2969,0
122,3297,0
122,3403,0
122,3449,0
122,3476,0
122,3515,0
122,3575,0
122,3611,0
123,1107,0
125,1300,0
126,9,0
126,26,0
126,107,0
126,151,0
126,220,0
126,250,0
126,289,0
126,334,0
126,446,0
126,469,0
126,537,0
126,649,0
126,755,0
126,930,0
126,938,0
126,969,0
126,1045,0
126,1051,0
126,1470,0
126,1592,0
126,1772,0
126,2889,0
126,3135,0
126,3325,0
128,255,0
130,190,0
130,290,0
130,434,0
130,539,0
130,644,0
130,1147,0
134,3390,0
143,274,0
146,436,0
146,2410,0
146,3552,0
149,831,0
151,2460,0
153,2965,0
154,663,0
154,1979,0
154,2144,0
156,362,0
156,2133,0
156,3456,0
158,2541,0
159,1578,0
160,74,0
160,85,0
160,99,0
160,162,0
160,222,0
160,413,0
160,607,0
160,985,0
160,1176,0
160,1196,0
160,1262,0
160,1327,0
160,1660,0
160,2318,0
160,3092,0
161,467,0
161,727,0
161,2992,0
162,803,0
163,3417,0
164,9,0
164,26,0
164,107,0
164,151,0
164,220,0
164,250,0
164,289,0
164,334,0
164,446,0
164,469,0
164,537,0
164,649,0
164,755,0
164,930,0
164,938,0
164,969,0
164,1045,0
164,1051,0
164,1470,0
164,1592,0
164,1772,0
164,2889,0
164,3135,0
164,3325,0
167,177,0
167,197,0
174,1269,0
176,287,0
176,1130,0
180,1880,0
182,556,0
182,2035,0
184,650,0
184,703,0
185,1778,0
195,18,0
198,43,0
199,514,0
200,514,0
202,597,0
203,1579,0
205,1365,0
205,2055,0
205,2988,0
206,2033,0
207,1080,0
209,104,0
209,724,0
209,1872,0
213,93,0
216,225,0
216,741,0
216,2934,0
220,11,0
220,590,0
221,1026,0
224,2293,0
225,602,0
226,2411,0
228,2345,0
229,619,0
229,2023,0
230,354,0
231,3036,0
233,207,0
234,554,0
237,1306,0
238,317,0
246,1098,0
249,3243,0
251,3087,0
252,1456,0
252,3112,0
252,3432,0
253,196,0
254,427,0
255,3481,0
256,1298,0
256,2021,0
259,3065,0
261,1083,0
261,3459,0
262,2254,0
263,357,0
264,15,0
265,352,0
265,544,0
265,3111,0
265,3199,0
266,91,0
266,105,0
269,224,0
271,823,0
275,1699,0
277,245,0
279,3581,0
280,1585,0
280,2533,0
283,3640,0
284,1678,0
285,795,0
286,1,0
286,66,0
287,3700,0
288,448,0
288,1705,0
288,3383,0
290,655,0
295,1786,0
295,2200,0
298,581,0
304,9,0
304,26,0
304,107,0
304,151,0
304,220,0
304,250,0
304,289,0
304,334,0
304,446,0
304,469,0
304,537,0
304,649,0
304,755,0
304,930,0
304,938,0
304,969,0
304,1045,0
304,1051,0
304,1470,0
304,1592,0
304,1772,0
304,2889,0
304,3135,0
304,3325,0
306,103,0
306,149,0
306,227,0
306,578,0
306,716,0
306,773,0
306,875,0
306,996,0
306,1110,0
306,1894,0
306,2049,0
306,2303,0
306,2840,0
307,30,0
307,374,0
307,659,0
307,933,0
308,213,0
315,224,0
320,897,0
325,155,0
326,472,0
327,2836,0
330,121,0
330,316,0
335,487,0
337,1313,0
338,3145,0
341,631,0
342,596,0
343,465,0
343,1089,0
343,1115,0
347,349,0
347,2858,0
352,288,0
353,1226,0
353,1497,0
353,1792,0
353,1916,0
353,1994,0
353,2652,0
353,2654,0
354,81,0
356,3700,0
359,73,0
361,1952,0
361,2897,0
363,3039,0
366,754,0
369,2032,0
371,2617,0
374,1181,0
376,472,0
382,35,0
382,104,0
382,381,0
382,440,0
382,739,0
382,746,0
382,968,0
382,1172,0
383,340,0
385,606,0
385,637,0
385,750,0
385,771,0
385,1734,0
385,2986,0
387,1325,0
392,9,0
392,26,0
392,107,0
392,151,0
392,220,0
392,250,0
392,289,0
392,334,0
392,446,0
392,469,0
392,537,0
392,649,0
392,755,0
392,930,0
392,938,0
392,969,0
392,1045,0
392,1051,0
392,1470,0
392,1592,0
392,1772,0
392,2889,0
392,3135,0
392,3325,0
394,1991,0
394,2236,0
396,600,0
396,3104,0
397,9,0
397,26,0
397,107,0
397,151,0
397,220,0
397,250,0
397,289,0
397,334,0
397,446,0
397,469,0
397,537,0
397,649,0
397,755,0
397,930,0
397,938,0
397,969,0
397,1045,0
397,1051,0
397,1470,0
397,1592,0
397,1772,0
397,2889,0
397,3135,0
397,3325,0
398,3161,0
399,505,0
399,3518,0
401,165,0
405,596,0
406,895,0
407,314,0
407,777,0
409,860,0
409,927,0
410,217,0
410,2300,0
411,588,0
414,1601,0
417,2869,0
418,1173,0
419,170,0
425,1133,0
427,2428,0
429,8,0
433,198,0
434,738,0
435,601,0
436,278,0
438,62,0
439,1170,0
441,620,0
442,545,0
442,690,0
442,1199,0
442,1345,0
442,1424,0
442,2170,0
442,2646,0
442,2964,0
443,2809,0
448,365,0
449,2160,0
451,512,0
455,1875,0
458,3637,0
462,744,0
463,614,0
463,934,0
463,967,0
463,989,0
463,1333,0
463,1569,0
463,2283,0
463,2406,0
463,3154,0
463,3176,0
463,3208,0
467,2180,0
468,104,0
468,462,0
468,475,0
468,530,0
468,531,0
468,672,0
468,688,0
468,779,0
468,868,0
468,898,0
468,1059,0
468,1097,0
468,1390,0
468,1659,0
468,2694,0
468,2738,0
468,2788,0
468,2868,0
468,2968,0
468,3050,0
468,3167,0
468,3294,0
468,3334,0
468,3351,0
468,3447,0
468,3484,0
472,3637,0
473,3323,0
478,3333,0
479,568,0
481,340,0
482,1451,0
483,2832,0
485,372,0
488,774,0
490,430,0
490,2539,0
492,1072,0
497,248,0
498,3643,0
499,216,0
505,671,0
506,167,0
514,3081,0
516,184,0
518,1460,0
519,2528,0
520,1931,0
521,7,0
524,1090,0
526,541,0
528,2528,0
529,3081,0
531,184,0
533,1460,0
534,1090,0
535,1931,0
536,541,0
540,1081,0
541,1298,0
541,2021,0
542,2832,0
543,1762,0
543,2593,0
544,1085,0
545,574,0
546,3270,0
547,574,0
548,3270,0
549,2635,0
554,70,0
554,80,0
554,84,0
557,979,0
559,2762,0
559,2851,0
562,1916,0
563,2762,0
563,2851,0
566,1916,0
567,2092,0
568,3130,0
570,717,0
572,503,0
572,911,0
572,1029,0
572,1218,0
572,2011,0
572,2106,0
572,3134,0
577,3470,0
578,352,0
578,544,0
578,3111,0
578,3199,0
581,199,0
582,3259,0
584,1568,0
584,1691,0
585,1437,0
585,2364,0
590,2200,0
592,486,0
595,1005,0
596,2279,0
600,2610,0
602,760,0
602,1187,0
602,1548,0
602,2561,0
602,2870,0
602,3090,0
611,201,0
614,379,0
616,2884,0
616,3357,0
617,527,0
617,1020,0
617,1457,0
617,2036,0
617,2655,0
617,3539,0
618,2617,0
619,988,0
619,1284,0
619,1706,0
619,3088,0
621,2222,0
622,168,0
623,119,0
623,498,0
623,658,0
623,797,0
623,801,0
623,917,0
630,1557,0
636,625,0
638,978,0
640,1551,0
648,395,0
656,3619,0
657,857,0
658,176,0
659,92,0
661,78,0
