ltable_id,rtable_id,gold
164,26,0
1324,3325,0
2127,934,0
1913,3109,1
392,446,0
2910,2031,0
2671,1738,0
977,2377,0
3019,571,0
889,51,1
343,1089,0
2293,1230,0
3784,699,1
2252,579,0
353,1792,0
2391,2395,0
3836,2348,0
2632,3321,0
2373,1988,0
845,889,1
2059,996,0
3677,230,1
3953,1571,0
315,224,0
3461,342,1
614,379,1
3367,910,0
839,63,0
1762,1664,0
1646,2087,0
3391,2161,0
1375,440,0
1047,1176,0
209,104,0
2401,103,0
3386,1186,0
3259,2175,0
451,512,1
3857,157,1
3277,2698,1
2658,2032,0
1662,3255,0
3024,1960,0
2509,1783,1
697,2155,0
3198,1700,0
816,1023,0
2034,2506,0
3807,3178,0
1764,35,0
265,544,0
3024,3575,0
3101,2712,1
1049,397,0
3738,326,0
1047,2318,0
2940,276,1
1916,2011,0
3129,1389,0
2374,2889,0
562,1916,0
3346,1425,1
547,574,0
266,91,0
3334,253,1
3688,537,0
3146,411,0
1152,2714,1
1237,1015,0
3165,2564,0
1926,2276,0
2218,3054,0
164,938,0
2553,1554,0
968,854,1
3862,2137,0
3366,371,1
2374,3135,0
3845,642,0
2460,206,1
121,376,1
1393,503,0
2408,812,0
3419,1051,0
3186,3090,0
823,240,1
3738,3449,0
429,8,1
1375,381,0
1544,2994,0
3386,1899,0
3161,1172,1
1007,3120,0
3394,480,1
839,869,1
680,1147,0
1388,805,0
130,190,0
2042,2175,0
3634,2619,1
2553,2715,0
602,3090,0
592,486,0
1800,1971,0
200,514,1
67,644,0
2121,938,0
2059,1894,0
3752,1232,0
392,537,0
3738,114,0
3798,458,0
1933,2075,1
122,1960,0
2401,996,0
2081,2303,0
2036,2245,0
2712,3321,0
1324,755,0
1926,2831,0
3186,2561,0
3282,3462,0
678,400,1
1456,2868,0
3161,104,0
2445,1403,0
2096,518,0
2950,3370,1
1828,257,0
2356,2200,0
557,979,1
3079,3485,0
385,771,0
3639,2829,1
3227,985,0
180,1880,0
1237,2273,0
2081,773,0
1668,1619,0
1678,151,0
1066,397,0
2763,103,0
3615,1638,0
2127,2283,0
1373,136,1
2185,1186,0
780,656,0
2733,564,0
3871,3166,1
1762,1738,0
3235,2564,0
1161,728,1
3699,1592,0
2440,1663,1
3738,194,0
1396,525,0
1178,1552,0
2448,752,1
3083,96,0
3825,1020,0
3121,2225,0
2735,1546,1
2366,21,0
2379,3287,1
1982,2009,0
3681,204,1
3446,658,0
3718,1712,0
1807,1020,0
284,1678,1
468,3050,0
2,2541,1
2110,159,1
1241,1894,0
1321,2269,0
2070,1265,0
3443,820,1
3758,2399,0
2764,1936,1
463,1569,0
3331,1052,1
2360,450,1
3077,882,1
1581,644,0
3065,1772,0
3343,253,0
2482,458,0
2167,1752,0
110,2609,0
2325,3021,0
3511,1392,0
2466,812,0
1178,1712,0
130,1147,0
2809,1437,0
1226,228,0
397,151,0
3019,2317,0
542,2832,1
3718,2831,0
231,3036,0
2232,3279,0
122,2302,0
115,220,0
3676,9,0
3676,3325,0
3189,902,1
1974,3528,0
3743,34,1
2066,3539,0
1358,901,1
1502,3337,1
3688,334,0
3738,2542,0
3385,1596,0
1008,2776,0
2197,26,0
3825,527,0
1236,2640,0
3718,3611,0
3747,607,0
3615,3515,0
3777,1392,0
1257,1270,0
2278,1996,0
3024,1526,0
3560,453,1
398,3161,0
117,436,1
3718,1921,0
1456,1059,0
3121,1389,0
164,9,0
1678,1772,0
3296,1660,0
3391,1144,0
1807,527,0
98,406,0
3730,1940,1
1977,2407,0
2257,3278,0
2187,361,0
3867,143,1
3387,1029,0
3752,463,0
3588,1009,0
3446,801,0
3752,826,0
3538,155,0
1047,74,0
616,3357,0
1195,1710,1
275,1699,1
2635,1443,0
1787,1683,1
126,2889,0
3570,705,0
3227,1176,0
1926,1500,0
1108,399,0
122,265,0
3186,1548,0
1461,495,1
1175,425,1
611,201,0
126,755,0
66,210,0
1567,307,0
306,716,0
3507,644,0
3699,151,0
2553,1827,0
1396,419,0
304,1051,0
110,3115,0
304,537,0
3704,323,0
117,3552,0
2704,2981,1
2034,2225,0
1226,958,0
2419,689,1
2254,3286,1
2584,304,1
2121,930,0
1178,2662,0
3534,3334,0
1563,578,0
2197,3135,0
3688,107,0
2473,63,1
2915,2445,0
3615,234,0
1581,539,0
1456,3050,0
1849,3492,0
1926,3611,0
3862,36,0
2519,2981,1
3181,2447,0
468,3167,0
2478,923,1
595,1005,1
1554,2628,1
1663,1390,0
1759,2475,0
3365,1966,0
1387,1374,0
1512,2574,0
3716,3696,0
1049,1336,1
3118,1296,0
3399,373,1
3942,2525,0
1456,688,0
3615,628,0
164,1470,0
