ltable_id,rtable_id,gold
852,3593,0
1215,3660,0
2463,4283,0
3092,4594,0
1341,4309,0
1749,3718,0
4029,4973,0
1964,417,0
1834,3335,0
3291,3384,0
1295,2326,0
3724,1445,0
3510,4169,0
2266,3847,1
624,4698,0
230,4428,0
1728,3384,0
324,752,0
453,1066,0
144,991,0
1261,2548,1
708,2549,1
2929,3383,0
2554,33,0
1725,2057,0
790,1809,1
1639,800,0
907,737,0
3505,3435,0
3231,2461,1
3267,4718,0
214,677,0
3724,2519,0
9,2039,0
3452,1925,0
774,4888,0
1937,4,0
3992,4034,0
2377,4835,0
4029,2874,0
126,2032,0
3617,4662,0
279,1409,0
2455,420,0
1291,2560,0
960,755,0
1776,4510,0
3114,4863,0
671,4906,0
1595,4073,0
2244,4640,0
1947,4114,0
1047,4795,0
3397,3104,0
1260,4532,0
337,4738,0
1148,3413,0
1345,3121,0
1087,2144,0
3978,2317,0
3717,4166,0
3261,4472,0
3599,1920,0
3024,2878,0
3971,3031,0
320,2570,0
1520,2566,0
3439,1775,1
1477,2461,1
3193,1828,0
1346,385,0
3431,4878,0
809,4169,0
3630,4585,0
1520,2245,0
3505,2301,0
3193,3428,1
3617,4177,0
1912,3121,1
3397,3052,1
4041,3815,0
1779,4148,0
1625,2608,0
1372,2729,0
2273,4796,0
962,135,0
384,91,1
2093,5,0
2463,4410,0
1211,4412,0
1569,527,0
583,4979,0
2902,3979,0
1943,4261,0
1722,2404,0
3089,4169,0
3341,2548,1
1766,552,0
624,2461,1
3910,3614,0
1953,2822,0
607,3326,0
4047,3381,0
2726,4289,0
4126,812,0
2932,64,0
2,4510,0
3561,2510,0
173,1251,0
2712,2823,0
4032,3273,0
4114,2780,0
1026,4945,0
2351,26,0
2292,4444,0
513,4887,0
3807,2290,0
1333,4002,0
367,8,0
1011,161,0
2415,3138,0
1207,2465,0
1267,4635,0
2662,1109,0
2528,3257,1
183,713,1
4066,3298,0
3690,2204,0
956,3454,1
4158,4125,0
3494,3749,0
2823,4838,0
354,3107,0
757,2549,1
3989,2738,0
1803,2863,0
1567,3066,0
30,4204,0
266,2069,0
1046,3917,0
1321,4640,0
1913,4888,0
2703,2433,1
1648,1559,0
872,256,0
2377,4223,0
654,3714,0
2361,2923,0
462,35,0
37,631,0
786,2565,1
455,174,0
183,812,1
3510,4908,0
3457,823,0
1164,4158,0
1582,4462,0
3943,3425,0
3632,3998,0
641,1096,0
884,3056,0
463,1968,0
1258,4658,0
3135,3594,0
1311,775,0
2373,870,0
1220,3326,0
3229,3534,0
2670,2775,0
4203,2749,0
3172,2881,0
470,4468,0
2241,2883,0
3303,2326,0
1099,2424,1
8,4431,0
3291,3126,0
2925,4600,0
1507,2424,1
451,101,0
1661,3661,0
1929,3566,0
3209,2336,0
733,2541,1
3476,2699,0
511,1543,0
1775,3260,0
716,2413,0
778,2474,0
2115,1688,0
1990,4555,0
722,2671,0
2530,4855,0
2491,3966,0
3508,1394,0
3937,4005,0
1059,3335,0
2155,3673,0
2829,4525,0
1902,4184,0
1274,2422,0
2692,3190,1
4082,2359,0
2246,2594,1
3293,2538,0
2309,4496,0
2155,4200,0
757,2548,1
4138,2409,0
1897,1500,0
2638,1247,0
4189,3213,0
2791,4180,0
2742,2427,0
914,1784,0
3929,57,0
3720,3822,0
3024,2218,1
3438,3238,0
1408,2204,0
1027,2542,1
2388,1280,0
1783,3688,0
3282,2738,0
3386,3908,1
219,2671,0
1604,4487,0
2703,2542,1
1790,2782,1
962,250,0
171,1411,0
219,3625,0
888,4459,1
2148,3361,0
1176,3844,1
2880,3497,0
888,4997,1
1931,2192,1
3245,1801,1
3549,3563,0
1571,1017,0
621,3791,0
572,1564,0
3992,3603,0
660,4901,0
721,2915,0
1076,4641,0
1852,4825,0
4107,3049,0
2851,2222,1
1999,4080,0
291,3150,0
2922,3035,0
3888,1410,0
3759,4632,0
1977,3540,0
1166,3345,0
558,4745,0
2835,4635,0
2139,3046,1
3894,2206,0
2969,2380,0
3274,1767,0
3529,4603,0
3476,3058,0
984,252,0
1571,908,0
3978,3701,0
1158,742,0
956,2365,0
4032,4119,0
3246,3878,0
3114,4576,0
1912,2208,1
733,2425,1
183,657,1
586,709,0
2979,4822,0
231,567,0
778,2368,0
1069,3059,1
2321,4979,0
1642,1995,0
1037,2954,0
2891,4390,0
1185,1406,0
1574,796,0
2228,2955,1
1406,3943,0
2879,3782,0
1902,2418,0
1777,4413,0
781,3921,0
3093,4221,0
1795,4711,0
1174,2502,0
856,450,1
3978,2426,1
2171,4183,0
889,2764,0
1080,1689,0
3345,205,0
745,4225,0
3748,2570,1
1937,829,0
2142,13,0
903,2268,0
2368,4093,0
599,4201,0
2480,435,0
1895,1547,0
390,419,0
2319,2158,0
424,770,0
520,2114,0
