ltable_id,rtable_id,gold
44,3847,0
63,5831,1
84,5626,0
104,5889,1
131,5639,1
131,6656,0
131,6985,0
133,5857,1
146,5643,1
154,5807,1
155,6053,1
158,5829,1
161,4649,1
190,5849,1
268,5993,1
324,5864,1
326,6235,1
327,5826,1
327,8532,0
327,8981,0
338,6507,0
361,7536,0
381,3662,1
387,5101,0
413,5299,0
416,7223,0
429,4284,0
429,5609,0
441,3809,1
455,5179,0
473,4053,1
499,5973,0
503,4191,1
543,3777,1
551,4336,1
582,3623,1
582,3979,0
586,4927,0
593,4719,0
595,7343,0
625,3620,1
626,9179,0
645,3586,1
650,3795,1
652,3894,1
663,3602,1
666,6760,0
672,3571,1
705,3584,1
713,3863,1
719,8417,0
720,4066,0
721,3996,1
742,3872,1
745,3926,1
747,3590,1
751,3643,1
759,4567,1
772,3608,1
773,3873,1
780,6383,0
786,3776,1
790,3760,1
835,4055,1
859,3875,1
860,3771,1
907,3869,1
917,3772,1
933,5808,0
957,3901,1
983,3876,1
1009,3842,1
1019,3765,1
1033,3865,1
1033,7187,0
1033,7188,0
1033,7418,0
1034,3813,1
1034,6573,0
1038,3788,1
1038,3954,0
1044,3937,1
1047,10002,0
1054,3918,1
1063,3767,1
1063,8019,0
1078,3848,1
1078,4528,0
1078,5065,0
1078,8253,0
1092,4878,1
1121,3778,1
1122,3841,1
1134,4819,0
1137,3757,1
1142,4193,1
1159,3775,1
1168,3791,1
1168,4457,1
1171,8624,0
1189,4366,1
1220,3835,1
1220,10100,0
1227,3798,1
1229,5784,0
1232,4244,0
1238,7238,0
1240,4189,1
1244,3890,1
1245,4673,1
1251,4209,1
1255,3764,1
1271,3853,1
1304,3827,1
1315,6010,0
1318,3774,1
1337,7550,0
1345,4516,1
1349,8009,0
1349,8409,0
1353,4490,1
1360,3891,1
1360,7052,0
1366,3821,1
1376,4289,1
1396,4222,1
1413,4129,1
1416,4246,1
1438,4485,0
1449,4329,1
1451,4173,1
1462,4195,1
1464,4163,1
1492,9799,0
1494,5224,0
1496,4137,1
1499,4147,1
1506,4128,1
1507,4141,1
1524,7890,0
1533,4309,1
1535,4125,1
1553,4192,1
1577,9694,0
1579,4381,1
1580,4607,1
1582,4214,1
1588,4275,1
1599,4162,1
1601,5402,0
1602,6377,0
1603,4207,1
1618,4118,1
1620,4170,1
1635,4185,1
1648,4814,1
1649,4294,1
1652,4255,1
1672,5039,0
1672,5451,0
1678,4135,1
1680,4182,1
1680,5273,0
1681,8666,0
1684,4169,1
1691,5889,0
1711,4190,1
1724,7296,0
1725,4598,1
1741,4153,1
1750,3637,0
1753,4456,1
1761,4181,1
1772,4470,1
1781,8397,0
1799,4130,1
1803,4148,1
1809,4597,1
1814,4484,1
1835,4107,0
1841,4467,1
1852,4476,1
1898,4464,1
1931,4474,1
1937,4462,1
1961,4478,1
1961,6432,0
1976,3791,1
1977,7207,0
1993,4460,1
1999,4496,1
2005,4500,1
2014,4803,1
2025,6225,0
