ltable_id,rtable_id,gold
22,5725,0
44,3847,0
63,5831,0
84,5626,0
98,6815,0
104,5889,0
131,5639,0
131,6656,0
131,6985,0
133,5857,0
146,5643,0
150,5648,0
154,5807,0
154,6717,0
155,6053,0
158,5829,0
161,4649,0
171,6065,0
190,5849,0
199,5883,0
214,5809,0
230,5854,0
245,5813,0
268,5993,0
268,9952,0
287,4193,0
324,5864,0
326,6235,0
327,5826,0
327,8532,0
327,8981,0
338,6507,0
361,7536,0
381,3662,0
387,5101,0
413,5299,0
416,7223,0
429,4283,0
429,4284,0
429,5609,0
441,3809,0
455,5179,0
465,5741,0
473,4053,0
498,3671,0
499,5973,0
503,4191,0
543,3777,0
551,4336,0
582,3623,0
582,3979,0
586,4927,0
593,4719,0
595,7343,0
625,3620,0
626,9179,0
632,5298,0
645,3586,0
650,3795,0
652,3894,0
663,3602,0
666,6760,0
666,9797,0
672,3571,0
705,3584,0
713,3863,0
719,8417,0
720,4066,0
721,3996,0
742,3872,0
745,3926,0
747,3590,0
751,3643,0
759,4567,0
772,3608,0
773,3873,0
774,10029,0
780,6383,0
786,3776,0
790,3760,0
835,4055,0
859,3875,0
860,3771,0
901,4709,0
907,3869,0
917,3772,0
933,5808,0
947,3756,0
957,3901,0
970,3770,0
983,3876,0
996,3866,0
1009,3842,0
1019,3765,0
1033,3865,0
1033,5084,0
1033,7187,0
1033,7188,0
1033,7417,0
1033,7418,0
1034,3813,0
1034,6573,0
1038,3788,0
1038,3954,0
1044,3937,0
1047,10002,0
1054,3918,0
1063,3767,0
1063,7687,0
1063,8019,0
1064,3814,0
1078,3848,0
1078,4528,0
1078,5065,0
1078,8253,0
1092,4878,0
1121,3778,0
1122,3841,0
1122,4463,0
1134,4819,0
1137,3757,0
1137,6974,0
1142,4193,0
1159,3775,0
1168,3791,0
1168,4457,0
1171,6060,0
1171,8624,0
1189,4366,0
1220,3835,0
1220,10100,0
1223,3786,0
1227,3798,0
1229,5784,0
1231,3812,0
1232,4244,0
1233,3793,0
1238,3804,0
1238,7238,0
1240,4189,0
1244,3890,0
1245,4673,0
1246,5733,0
1251,4209,0
1255,3764,0
1271,3853,0
1273,7970,0
1304,3827,0
1309,3758,0
1315,6010,0
1316,3763,0
1318,3774,0
1335,4124,0
1337,4131,0
1337,7550,0
1345,4516,0
1349,7672,0
1349,8009,0
1349,8409,0
1353,4490,0
1360,3891,0
1360,7052,0
1366,3821,0
1376,4289,0
1394,3782,0
1396,4222,0
1410,4196,0
1413,4129,0
1416,4246,0
1438,4485,0
1449,4329,0
1451,4173,0
1462,4195,0
1464,4163,0
1492,9799,0
1494,5224,0
1496,4137,0
1499,4147,0
1506,4128,0
1507,4141,0
1524,7890,0
1532,4340,0
1533,4309,0
1535,4125,0
1547,4421,0
1553,4192,0
1577,9694,0
1579,4381,0
1580,4607,0
1582,4214,0
1588,4275,0
1599,4162,0
1601,5401,0
1601,5402,0
1602,6377,0
1603,4207,0
1618,4118,0
1620,4170,0
1627,4140,0
1631,4615,0
1632,4165,0
1635,4185,0
1648,4814,0
1649,4294,0
1652,4255,0
1672,5039,0
1672,5451,0
1678,4135,0
1680,4182,0
1680,5273,0
1681,8666,0
1684,4169,0
1691,5889,0
1711,4190,0
1724,6812,0
1724,7296,0
1724,9863,0
1725,4598,0
1732,4241,0
1733,4151,0
1740,4120,0
1741,4153,0
1750,3637,0
1753,4456,0
1758,5655,0
1761,4181,0
