"genre","year","actors","movie_name","directors","id","duration","cluster_id"
"Drama, Science Fiction",1982.0,"","Blade Runner: The Final Cut","Ridley Scott",0,"117 minutes",0
"Drama, Film Noir",1951.0,"Kirk Douglas,Richard Benedict,Jan Sterling","Ace in the Hole","Billy Wilder",1,"111 minutes",1
"Drama, Foreign, Indie, Thriller",1966.0,"Jean-Paul Belmondo,Anna Karina,Graziella Galvani","Pierrot le Fou","",2,"110 minutes",2
"Comedy, Drama, Indie",2007.0,"Reece Daniel Thompson,Anna Kendrick,Nicholas D'Agosto,Vincent Piazza,Denis O'Hare","Rocket Science","",3,"101 minutes",3
"Action, Adventure, Foreign, Thriller",2007.0,"Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Mads Mikkelsen","Casino Royale","Martin Campbell",4,"144 minutes",4
"Comedy, Drama, Foreign",2007.0,"Matthew MacFadyen,Keeley Hawes,Daisy Donovan,Alan Tudyk,Jane Asher,Rupert Graves,Peter Egan,Peter Dinklage","Death at a Funeral","Frank Oz",5,"90 minutes",5
"Comedy",2007.0,"Jonah Hill,Michael Cera,Christopher Mintz-Plasse,Bill Hader,Seth Rogen,Emma Stone","Superbad","Greg Mottola",6,"113 minutes",6
"Drama, Foreign",2007.0,"Adelaide Leroux,Samuel Boidin,Henri Cretel","Flanders","",7,"91 minutes",7
"Comedy, Drama, Romance",2007.0,"Scarlett Johansson,Laura Linney,Paul Giamatti,Donna Murphy,Alicia Keys,Nathan Corddry","The Nanny Diaries","Shari Springer Berman,Robert Pulcini",8,"106 minutes",8
"Comedy, Foreign, Indie, Romance",2007.0,"Julie Delpy,Adam Goldberg,Daniel Bruhl,Marie Pillet,Albert Delpy,Aleksia Landeau,Adan Jodorowsky,Alexandre Nahon","2 Days in Paris","",9,"96 minutes",9
"Action, Crime, Drama, Thriller",2007.0,"Wanda DeJesus,Rick Gonzalez,Dania Ramirez,Gary Perez,Tego Calderon,Manny Perez","Illegal Tender","",10,"108 minutes",10
"Drama, Sports Film",2007.0,"Samuel L. Jackson,Josh Hartnett,Teri Hatcher,Alan Alda,Kathryn Morris,Dakota Goyo,David Paymer","Resurrecting the Champ","Rod Lurie",11,"112 minutes",11
"Drama, Foreign",2007.0,"Isabelle Huppert,Yannick Renier,Jeremie Renier,Patrick Descamps","Private Property","Joachim Lafosse",12,"",12
"Documentary",2007.0,"","The King of Kong: A Fistful of Quarters","Seth Gordon",13,"79 minutes",13
"Documentary",2007.0,"","The 11th Hour","",14,"95 minutes",14
"Action, Drama, History, Romance, Western",2007.0,"Jon Voight,Terence Stamp,Dean Cain,Jon Gries,Lolita Davidovich","September Dawn","Christopher Cain",15,"110 minutes",3
"Crime, Drama, Mystery, Thriller",2007.0,"Mark Ruffalo,Jake Gyllenhaal,Robert Downey Jr.,Anthony Edwards,Brian Cox,Charles Fleischer,Zach Grenier,Philip Baker Hall,Elias Koteas,John Carroll Lynch,Dermot Mulroney,Chloe Sevigny","Zodiac","David Fincher",16,"157 minutes",16
"Animation, Comedy, Family",2007.0,"Patton Oswalt,Ian Holm,Lou Romano,Peter O'Toole,Brad Garrett,Janeane Garofalo,Peter Sohn,Brian Dennehy,Will Arnett","Ratatouille","",17,"111 minutes",17
